,Average Training Accuracy,Average Training Loss,Average Training Precision,Average Training Sensitivity,Average Training Specificity,Average Training F1,Average Training JS,Average Training Dice Coefficient,Epochs
0,0.856349365234375,0.7182531003952026,0.751507398365717,0.751507398365717,0.9598950281596713,0.5428598092905632,0.3791219463138394,0.5428602622551174,1
1,0.8885928955078125,0.6725211238861084,0.8342591592009541,0.8342591592009541,0.9747780895173335,0.6561141655409395,0.4915427150687174,0.656114637226264,2
2,0.8972606201171875,0.6649963889122009,0.8526729793492719,0.8526729793492719,0.9764834948010501,0.6890980531613564,0.5292804953471073,0.6890985288864692,3
3,0.9026229248046875,0.661631588935852,0.863059377318925,0.863059377318925,0.9778525892108506,0.706555399498704,0.5492321089888944,0.7065558783561143,4
4,0.9094547119140625,0.6583689179420471,0.873817515615934,0.873817515615934,0.9789016002644892,0.7305148651021623,0.5780926727026845,0.730515347713502,5
5,0.912681884765625,0.6567180132865906,0.8805099628371879,0.8805099628371879,0.9801687309494956,0.741904780964817,0.5922990009099061,0.7419052641701052,6
6,0.91431787109375,0.6559261631965637,0.8829996074576827,0.8829996074576827,0.9802945082288402,0.7485603529838167,0.6018433986908849,0.748560836061638,7
7,0.920090087890625,0.6534742441177368,0.8918665953922852,0.8918665953922852,0.9813322853466376,0.7675409866270049,0.625896832642428,0.767541472384808,8
8,0.92121630859375,0.6529409809112549,0.8918583322996527,0.8918583322996527,0.9815957847699177,0.7710494019395984,0.6306459243482778,0.7710498889454825,9
9,0.9255369873046875,0.6512911095619202,0.8945002314070997,0.8945002314070997,0.9812248162434757,0.7854686221400312,0.6491303912932218,0.7854691117174348,10
10,0.9243447265625,0.6514754643440247,0.8987676734459945,0.8987676734459945,0.9826511287102037,0.7806486394657918,0.6430563532946012,0.7806491275940288,11
11,0.9264864501953125,0.650775767326355,0.8975186826353009,0.8975186826353009,0.9819480819947176,0.7888828153141656,0.6539644672062123,0.7888833051044308,12
12,0.9280244140625,0.6500051016807556,0.9023945214033188,0.9023945214033188,0.9827508140413056,0.7939335562205305,0.6611283024775163,0.7939340468026347,13
13,0.931195556640625,0.6488211178779602,0.9019813847901156,0.9019813847901156,0.9827551683952642,0.802488920240163,0.6721418471368524,0.8024894118140484,14
14,0.9335277099609375,0.6478022403717041,0.9074200771875855,0.9074200771875855,0.9831783647356985,0.8092441070645967,0.6816575008297975,0.8092445990343858,15
15,0.9359725341796875,0.6467510619163513,0.9137163780547547,0.9137163780547547,0.9838410742165199,0.818502024537442,0.6950128063289858,0.8185025169966235,16
16,0.9366629638671875,0.6464513244628907,0.9112749397741683,0.9112749397741683,0.9840190563034047,0.8204413752874757,0.6976323021824445,0.8204418683171321,17
17,0.934925048828125,0.6471914229393005,0.90957654927275,0.90957654927275,0.983496004758444,0.8139850074237879,0.6883421798724437,0.8139855000857692,18
18,0.9412509765625,0.6445205521583557,0.9202770830123652,0.9202770830123652,0.9849778754973639,0.8353363646535007,0.7188550504393627,0.8353368589999607,19
19,0.9426490478515624,0.644030484676361,0.9192711209418387,0.9192711209418387,0.9847881016735217,0.8378955798180477,0.7225055192460467,0.8378960746776093,20
20,0.9452847900390625,0.6428334560394288,0.9259943665742094,0.9259943665742094,0.9856457603123158,0.8457618895019481,0.7343794522896763,0.8457623846692892,21
21,0.9448128662109375,0.6431403694152832,0.9204481055936112,0.9204481055936112,0.9850058224125314,0.842862202289012,0.7302739688740604,0.8428626973723093,22
22,0.9457657470703125,0.6426817321777344,0.9256732687263967,0.9256732687263967,0.9854782212089183,0.847190034622258,0.7364625363268305,0.847190530060747,23
23,0.94936279296875,0.6412305736541748,0.9291518870140952,0.9291518870140952,0.9860023602730749,0.8577457228877299,0.7522809444096776,0.8577462190237649,24
24,0.948998046875,0.6413156728744507,0.9293708214308503,0.9293708214308503,0.9862502045390724,0.8566672010575358,0.7506049847573133,0.8566676971471383,25
25,0.950646728515625,0.6406048259735108,0.9323343760816826,0.9323343760816826,0.9866608563722089,0.8614853100335215,0.7582812907931251,0.8614858061863022,26
26,0.952729248046875,0.6397695798873901,0.93439562196146,0.93439562196146,0.9868695296952223,0.8675474570566423,0.7672832403028659,0.8675479538202173,27
27,0.954258544921875,0.6390863885879516,0.9381718699539202,0.9381718699539202,0.9874718211141056,0.8715874192104909,0.7734483609365241,0.8715879161630934,28
28,0.9562542724609375,0.638237554550171,0.9412896724077986,0.9412896724077986,0.9879623018415202,0.8780223591476483,0.7835990914088483,0.8780228562641693,29
